"","Date"
"1",2012
"2",2011
"3",2011
"4",2011
"5",2012
"6",2011
"7",2011
"8",2011
"9",2011
"10",2011
"11",2011
"12",2010
"13",2011
"14",2011
"15",2011
"16",2011
"17",2011
"18",2011
"19",2011
"20",2012
"21",2011
"22",2011
"23",2011
"24",2011
"25",2012
"26",2012
"27",2010
"28",2012
"29",2011
"30",2011
"31",2011
"32",2011
"33",2011
"34",2011
"35",2011
"36",2012
"37",2011
"38",2012
"39",2011
"40",2012
"41",2012
"42",2012
"43",2012
"44",2011
"45",2011
"46",2011
"47",2012
"48",2011
"49",2011
"50",2012
"51",2011
"52",2011
"53",2011
"54",2011
"55",2012
"56",2011
"57",2011
"58",2012
"59",2011
"60",2011
"61",2011
"62",2011
"63",2011
"64",2011
"65",2012
"66",2011
"67",2011
"68",2011
"69",2011
"70",2011
"71",2011
"72",2011
"73",2011
"74",2011
"75",2011
"76",2011
"77",2011
"78",2011
"79",2011
"80",2011
"81",2011
"82",2011
"83",2011
"84",2011
"85",2011
"86",2011
"87",2011
"88",2011
"89",2011
"90",2012
"91",2011
"92",2012
"93",2011
"94",2011
"95",2012
"96",2011
"97",2011
"98",2011
"99",2011
"100",2011
"101",2012
"102",2011
"103",2011
"104",2011
"105",2011
"106",2011
"107",2011
"108",2012
"109",2011
"110",2011
"111",2011
"112",2011
"113",2011
"114",2011
"115",2012
"116",2011
"117",2011
"118",2011
"119",2011
"120",2011
"121",2011
"122",2011
"123",2011
"124",2011
"125",2011
"126",2012
"127",2011
"128",2011
"129",2011
"130",2011
"131",2011
"132",2011
"133",2011
"134",2011
"135",2011
"136",2011
"137",2012
"138",2011
"139",2011
"140",2011
"141",2011
"142",2011
"143",2011
"144",2011
"145",2011
"146",2011
"147",2011
"148",2011
"149",2011
"150",2011
"151",2012
"152",2011
"153",2011
"154",2011
"155",2011
"156",2011
"157",2011
"158",2011
"159",2011
"160",2011
"161",2011
"162",2011
"163",2011
"164",2011
"165",2012
"166",2012
"167",2012
"168",2011
"169",2011
"170",2011
"171",2011
"172",2011
"173",2011
"174",2011
"175",2011
"176",2012
"177",2011
"178",2011
"179",2011
"180",2011
"181",2011
"182",2011
"183",2011
"184",2011
"185",2011
"186",2011
"187",2011
"188",2011
"189",2011
"190",2011
"191",2011
"192",2011
"193",2012
"194",2011
"195",2012
"196",2011
"197",2011
"198",2012
"199",2011
"200",2012
"201",2011
"202",2011
"203",2011
"204",2011
"205",2012
"206",2011
"207",2011
"208",2011
"209",2011
"210",2011
"211",2011
"212",2011
"213",2011
"214",2011
"215",2011
"216",2011
"217",2011
"218",2011
"219",2011
"220",2011
"221",2011
"222",2011
"223",2011
"224",2011
"225",2011
"226",2012
"227",2012
"228",2011
"229",2011
"230",2011
"231",2011
"232",2012
"233",2011
"234",2011
"235",2011
"236",2012
"237",2011
"238",2011
"239",2011
"240",2012
"241",2011
"242",2011
"243",2011
"244",2011
"245",2011
"246",2012
"247",2012
"248",2011
"249",2012
"250",2012
"251",2011
"252",2012
"253",2011
"254",2011
"255",2012
"256",2012
"257",2011
"258",2011
"259",2012
"260",2011
"261",2011
"262",2011
"263",2011
"264",2012
"265",2011
"266",2011
"267",2011
"268",2011
"269",2011
"270",2011
"271",2012
"272",2011
"273",2011
"274",2011
"275",2011
"276",2011
"277",2012
"278",2011
"279",2011
"280",2011
"281",2011
"282",2011
"283",2011
"284",2011
"285",2011
"286",2011
"287",2011
"288",2011
"289",2011
"290",2011
"291",2011
"292",2011
"293",2012
"294",2012
"295",2012
"296",2012
"297",2011
"298",2011
"299",2011
"300",2011
"301",2012
"302",2011
"303",2011
"304",2011
"305",2011
"306",2011
"307",2011
"308",2011
"309",2011
"310",2011
"311",2011
"312",2011
"313",2012
"314",2011
"315",2011
"316",2011
"317",2011
"318",2011
"319",2011
"320",2011
"321",2011
"322",2011
"323",2011
"324",2011
"325",2012
"326",2011
"327",2012
"328",2011
"329",2011
"330",2011
"331",2011
"332",2012
"333",2011
"334",2011
"335",2011
"336",2011
"337",2011
"338",2011
"339",2011
"340",2011
"341",2011
"342",2011
"343",2011
"344",2012
"345",2011
"346",2011
"347",2012
"348",2011
"349",2011
"350",2011
"351",2012
"352",2011
"353",2011
"354",2011
"355",2011
"356",2012
"357",2011
"358",2012
"359",2011
"360",2012
"361",2011
"362",2011
"363",2011
"364",2011
"365",2011
"366",2012
"367",2011
"368",2011
"369",2012
"370",2012
"371",2011
"372",2011
"373",2012
"374",2011
"375",2011
"376",2011
"377",2012
"378",2011
"379",2011
"380",2011
"381",2011
"382",2011
"383",2011
"384",2011
"385",2012
"386",2012
"387",2011
"388",2011
"389",2011
"390",2011
"391",2011
"392",2011
"393",2011
"394",2011
"395",2012
"396",2011
"397",2011
"398",2011
"399",2011
"400",2011
"401",2011
"402",2011
"403",2011
"404",2011
"405",2011
"406",2011
"407",2011
"408",2011
"409",2011
"410",2012
"411",2011
"412",2012
"413",2011
"414",2011
"415",2011
"416",2011
"417",2011
"418",2011
"419",2011
"420",2012
"421",2011
"422",2011
"423",2011
"424",2011
"425",2011
"426",2011
"427",2011
"428",2011
"429",2012
"430",2011
"431",2011
"432",2011
"433",2011
"434",2011
"435",2011
"436",2011
"437",2011
"438",2011
"439",2013
"440",2013
"441",2013
"442",2013
"443",2013
"444",2013
"445",2013
"446",2013
"447",2013
"448",2013
"449",2014
"450",2014
"451",2014
"452",2014
"453",2014
"454",2014
"455",2014
"456",2014
"457",2014
"458",2014
"459",2014
"460",2014
"461",2014
"462",2014
"463",2014
"464",2014
"465",2014
"466",2014
"467",2014
"468",2014
"469",2014
"470",2014
"471",2014
"472",2014
